side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
long,1,crowd_01,pooled,129,97,-338.5870508472396,61.93683255813954,-321.65021828909994,-366.65021828909994,242.8512508548658,-840.5814380142143,0.3643410852713178,crowd_cell
long,1,crowd_01,e2122,49,38,-323.23548719491345,25.336063265306123,-342.8994239296074,-387.8994239296073,340.46054486450106,-943.509035178696,0.32653061224489793,crowd_cell
long,1,crowd_01,e2324,56,41,-240.09281709651304,85.52618035714285,-199.5666367393702,-244.56663673937027,338.7451104164006,-505.4600114939513,0.4107142857142857,crowd_cell
long,1,crowd_01,e2526,24,18,-599.7497053891007,81.62159166666667,-563.1281137224339,-608.1281137224339,710.7457097268855,-1241.9799634286535,0.3333333333333333,crowd_cell
long,1,crowd_01,pre2025,105,79,-278.89272980909993,57.43745904761904,-266.4552707614808,-311.4552707614809,243.3688614378815,-776.475619014177,0.37142857142857144,crowd_cell
long,1,crowd_01,post2025,24,18,-599.7497053891007,81.62159166666667,-563.1281137224339,-608.1281137224339,720.2001156245619,-1241.9799634286535,0.3333333333333333,crowd_cell
long,1,crowd_24,pooled,236,96,-19.606914111162826,111.31996271186439,46.71304860070161,1.7130486007015864,287.7976508825956,-587.5279110817975,0.3305084745762712,crowd_cell
long,1,crowd_24,e2122,3,2,-2998.387008276088,74.2171,-2969.169908276088,-3014.169908276088,737.5653184853395,-2867.715367097968,0.0,crowd_cell
long,1,crowd_24,e2324,119,54,-251.15287027864153,16.160612605042015,-279.9922576735995,-324.9922576735995,219.10473354288328,-579.5480607389903,0.3277310924369748,crowd_cell
long,1,crowd_24,e2526,114,41,300.4835162960718,211.62935964912282,467.11287594519456,422.11287594519456,541.4742473889438,-569.6062387181368,0.34210526315789475,crowd_cell
long,1,crowd_24,pre2025,122,56,-318.7078080982509,17.58823114754098,-346.1195769507099,-391.11957695071004,223.1798837353158,-615.978007461286,0.319672131147541,crowd_cell
long,1,crowd_24,post2025,114,41,300.4835162960718,211.62935964912282,467.11287594519456,422.11287594519456,541.3387931975021,-569.6062387181368,0.34210526315789475,crowd_cell
long,1,crowd_ge5,pooled,294,58,-32.08722814156904,37.51449149659864,-39.572736644970355,-84.5727366449703,250.0753541258622,-359.3898566018179,0.3877551020408163,crowd_cell
long,1,crowd_ge5,e2122,0,,,,,,,,,crowd_cell
long,1,crowd_ge5,e2324,55,15,149.64426747240793,17.17176545454545,121.81603292695351,76.81603292695338,630.7216866273734,-631.1684018348625,0.32727272727272727,crowd_cell
long,1,crowd_ge5,e2526,239,43,-73.90828361758882,42.19587196652719,-76.71241165106154,-121.71241165106154,259.9500348479228,-279.8927638036822,0.401673640167364,crowd_cell
